"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Bracebridge, Ontario","2011A00053544018","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823812","69.2.4","","F","","","0"
"2021","Bracebridge, Ontario","2011A00053544018","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823812","69.2.4","","F","","","0"
"2011","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","761","","","","0"
"2012","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","778","","","","0"
"2013","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","800","","","","0"
"2014","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","780","","","","0"
"2015","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","788","","","","0"
"2016","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","790","","","","0"
"2017","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","799","","","","0"
"2018","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","857","","","","0"
"2019","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","887","","","","0"
"2020","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","886","","","","0"
"2021","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824080","69.1.2","905","","","","0"
"2011","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","855","","","","0"
"2012","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","899","","","","0"
"2013","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","865","","","","0"
"2014","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","897","","","","0"
"2015","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","945","","","","0"
"2016","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","948","","","","0"
"2017","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","987","","","","0"
"2018","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","954","","","","0"
"2019","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","1135","","","","0"
"2020","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","1176","","","","0"
"2021","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824214","69.1.3","1195","","","","0"
"2011","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2012","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2013","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2014","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2015","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2016","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2017","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","1229","","","","0"
"2018","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2019","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2020","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","1336","","","","0"
"2021","Bracebridge, Ontario","2011A00053544018","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824348","69.1.4","","F","","","0"
"2011","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","726","","","","0"
"2012","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","728","","","","0"
"2013","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","752","","","","0"
"2014","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","782","","","","0"
"2015","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","779","","","","0"
"2016","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","833","","","","0"
"2017","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","867","","","","0"
"2018","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","900","","","","0"
"2019","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","971","","","","0"
"2020","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","1050","","","","0"
"2021","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822977","70.3.2","1116","","","","0"
"2011","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","800","","","","0"
"2012","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","833","","","","0"
"2013","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","848","","","","0"
"2014","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","866","","","","0"
"2015","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","883","","","","0"
"2016","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","916","","","","0"
"2017","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","963","","","","0"
"2018","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","1006","","","","0"
"2019","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","1044","","","","0"
"2020","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","1115","","","","0"
"2021","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823111","70.3.3","1207","","","","0"
"2011","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","951","","","","0"
"2012","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","898","","","","0"
"2013","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1038","","","","0"
"2014","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1048","","","","0"
"2015","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1081","","","","0"
"2016","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1138","","","","0"
"2017","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1196","","","","0"
"2018","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1171","","","","0"
"2019","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1196","","","","0"
"2020","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1320","","","","0"
"2021","Brantford, Ontario","2011S0503543","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823245","70.3.4","1288","","","","0"
"2011","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2012","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2013","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2014","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2015","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2016","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2017","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2018","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2019","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2020","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2021","Brantford, Ontario","2011S0503543","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823513","70.2.2","","F","","","0"
"2011","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","889","","","","0"
"2012","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","780","","","","0"
"2013","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","990","","","","0"
"2014","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","968","","","","0"
"2015","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1010","","","","0"
"2016","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1002","","","","0"
"2017","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1055","","","","0"
"2018","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1041","","","","0"
"2019","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1127","","","","0"
"2020","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1277","","","","0"
"2021","Brantford, Ontario","2011S0503543","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823647","70.2.3","1248","","","","0"
"2011","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","977","","","","0"
"2012","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","896","","","","0"
"2013","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1133","","","","0"
"2014","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1159","","","","0"
"2015","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1194","","","","0"
"2016","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1184","","","","0"
"2017","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1262","","","","0"
"2018","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1277","","","","0"
"2019","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1259","","","","0"
"2020","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1453","","","","0"
"2021","Brantford, Ontario","2011S0503543","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823781","70.2.4","1349","","","","0"
"2011","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","726","","","","0"
"2012","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","728","","","","0"
"2013","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","752","","","","0"
"2014","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","782","","","","0"
"2015","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","779","","","","0"
"2016","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","833","","","","0"
"2017","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","867","","","","0"
"2018","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","900","","","","0"
"2019","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","971","","","","0"
"2020","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","1050","","","","0"
"2021","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824049","70.1.2","1116","","","","0"
"2011","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","792","","","","0"
"2012","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","838","","","","0"
"2013","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","835","","","","0"
"2014","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","855","","","","0"
"2015","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","870","","","","0"
"2016","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","908","","","","0"
"2017","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","955","","","","0"
"2018","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","1002","","","","0"
"2019","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","1037","","","","0"
"2020","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","1102","","","","0"
"2021","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824183","70.1.3","1203","","","","0"
"2011","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","900","","","","0"
"2012","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","900","","","","0"
"2013","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","934","","","","0"
"2014","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","946","","","","0"
"2015","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","950","","","","0"
"2016","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1090","","","","0"
"2017","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1135","","","","0"
"2018","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1070","","","","0"
"2019","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1115","","","","0"
"2020","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1178","","","","0"
"2021","Brantford, Ontario","2011S0503543","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824317","70.1.4","1231","","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","622","","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","627","","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","659","","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","","F","","","0"
"2015","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","661","","","","0"
"2016","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","727","","","","0"
"2017","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","659","","","","0"
"2018","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","752","","","","0"
"2019","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","856","","","","0"
"2020","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","","F","","","0"
"2021","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843650","220.3.2","","F","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","705","","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","746","","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","751","","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","725","","","","0"
"2015","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","829","","","","0"
"2016","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","782","","","","0"
"2017","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","846","","","","0"
"2018","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","861","","","","0"
"2019","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","915","","","","0"
"2020","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","936","","","","0"
"2021","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843690","220.3.3","1034","","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2015","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2016","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2017","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2018","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2019","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2020","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2021","Brighton, Ontario","2011A00053514004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843730","220.3.4","","F","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2015","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2016","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2017","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2018","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2019","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2020","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2021","Brighton, Ontario","2011A00053514004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843810","220.2.2","","F","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2015","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2016","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2017","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2018","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2019","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2020","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2021","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843850","220.2.3","","F","","","0"
"2011","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843890","220.2.4","","F","","","0"
"2012","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843890","220.2.4","","F","","","0"
"2013","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843890","220.2.4","","F","","","0"
"2014","Brighton, Ontario","2011A00053514004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843890","220.2.4","","F","","","0"
