"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1345","","","","0"
"2021","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1465","","","","0"
"2011","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","530","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","552","","","","0"
"2013","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","520","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","484","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2016","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2017","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2018","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2019","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2020","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","1548","","","","0"
"2021","Windsor, Ontario","2011S0503559","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823509","128.2.2","","F","","","0"
"2011","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","727","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","725","","","","0"
"2013","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","843","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","830","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","799","","","","0"
"2016","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","818","","","","0"
"2017","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","866","","","","0"
"2018","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","920","","","","0"
"2019","Windsor, Ontario","2011S0503559","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823643","128.2.3","886","","","","0"
